dataset,filename,label,ada_boost_32,ada_boost_32_class,bayes_32,bayes_32_class,convnet_32,convnet_32_class,decision_tree_32,decision_tree_32_class,knn_32,knn_32_class,mlp_32,mlp_32_class,qda_32,qda_32_class,random_forest_32,random_forest_32_class,resnet_32,resnet_32_class,rocket_32,rocket_32_class,svc_linear_32,svc_linear_32_class,Oracle,Avg Ens,CBLOF,COF,COPOD,HBOS,LOF,PCC
settings_two,synthetic_batch_0.out,HBOS,2.9159406321332404,HBOS,2.9159406321332404,HBOS,2.9159406321332404,HBOS,2.9159406321332404,HBOS,2.9159406321332404,HBOS,2.9159406321332404,HBOS,3.410902499880094,PCC,2.9159406321332404,HBOS,3.00575106179771,COPOD,2.9159406321332404,HBOS,2.9159406321332404,HBOS,2.9159406321332404,0.5780394988428762,8.277093186198966,4.203003300233095,3.00575106179771,2.9159406321332404,2.943752562116297,3.410902499880094
settings_two,synthetic_batch_1.out,PCC,2.907966799453004,HBOS,2.907966799453004,HBOS,3.3302074812278684,PCC,2.907966799453004,HBOS,2.907966799453004,HBOS,2.907966799453004,HBOS,3.3302074812278684,PCC,2.907966799453004,HBOS,2.9724764894316644,COPOD,2.907966799453004,HBOS,2.907966799453004,HBOS,2.907966799453004,0.6656321382362252,8.263906277259684,5.210789101191067,2.9724764894316644,2.907966799453004,2.956754285817521,3.3302074812278684
settings_two,synthetic_batch_18.out,HBOS,2.9428653130206497,HBOS,2.9428653130206497,HBOS,3.240706571343249,PCC,2.9428653130206497,HBOS,2.9428653130206497,HBOS,2.9428653130206497,HBOS,3.240706571343249,PCC,2.9428653130206497,HBOS,3.0642548430956724,COPOD,2.9428653130206497,HBOS,2.9428653130206497,HBOS,2.9428653130206497,0.6054326890264353,6.016029427801864,4.555030539150317,3.0642548430956724,2.9428653130206497,2.9872506315702103,3.240706571343249
settings_two,synthetic_batch_19.out,HBOS,2.9941395380712943,HBOS,2.9941395380712943,HBOS,2.971546387110211,LOF,2.9941395380712943,HBOS,2.9941395380712943,HBOS,2.9941395380712943,HBOS,3.4980001001590115,PCC,2.9941395380712943,HBOS,3.0649772990542203,COPOD,2.9941395380712943,HBOS,2.9941395380712943,HBOS,2.971546387110211,0.641417073337336,6.042375706025724,5.532233463108051,3.0649772990542203,2.9941395380712943,2.971546387110211,3.4980001001590115
settings_two,synthetic_batch_21.out,HBOS,2.981787354649577,HBOS,2.981787354649577,HBOS,2.9943503062816315,LOF,2.981787354649577,HBOS,2.981787354649577,HBOS,2.981787354649577,HBOS,3.4249763823918054,PCC,2.981787354649577,HBOS,3.0146194534385145,COPOD,2.981787354649577,HBOS,2.981787354649577,HBOS,2.981787354649577,0.8355197250078052,8.34452752131993,4.56359348138985,3.0146194534385145,2.981787354649577,2.9943503062816315,3.4249763823918054
settings_two,synthetic_batch_23.out,COPOD,2.8675877355494883,HBOS,2.8675877355494883,HBOS,2.9608188008804848,PCC,2.8675877355494883,HBOS,2.8675877355494883,HBOS,2.8675877355494883,HBOS,2.9608188008804848,PCC,2.8675877355494883,HBOS,2.97763388826206,COPOD,2.8675877355494883,HBOS,2.8675877355494883,HBOS,2.8675877355494883,0.8096437275365709,8.018141388633335,5.428446297073617,2.97763388826206,2.8675877355494883,2.9816409722600548,2.9608188008804848
settings_two,synthetic_batch_25.out,HBOS,inf,HBOS,inf,HBOS,7.722874456963064,CBLOF,inf,HBOS,inf,HBOS,inf,HBOS,3.163423992386392,PCC,inf,HBOS,2.979076845851808,COPOD,inf,HBOS,inf,HBOS,2.9480191978893284,0.6224358876922969,7.722874456963064,3.674691745038703,2.979076845851808,inf,2.9480191978893284,3.163423992386392
settings_two,synthetic_batch_28.out,PCC,2.9745570798455603,HBOS,2.9745570798455603,HBOS,7.483976291725691,CBLOF,2.9745570798455603,HBOS,2.9745570798455603,HBOS,2.9745570798455603,HBOS,2.819619173602404,LOF,2.9745570798455603,HBOS,3.0103796700644327,COPOD,2.9745570798455603,HBOS,2.9745570798455603,HBOS,2.819619173602404,0.7089022346758763,7.483976291725691,4.980813384022668,3.0103796700644327,2.9745570798455603,2.819619173602404,3.259460029630201
settings_two,synthetic_batch_32.out,PCC,2.9901355161769567,HBOS,2.9901355161769567,HBOS,8.590460749919007,CBLOF,2.9901355161769567,HBOS,2.9901355161769567,HBOS,2.9901355161769567,HBOS,3.4833491666846634,PCC,2.9901355161769567,HBOS,3.084279943009649,COPOD,2.9901355161769567,HBOS,2.9901355161769567,HBOS,2.9901355161769567,0.6058270828279091,8.590460749919007,4.937816812776601,3.084279943009649,2.9901355161769567,3.040428545278442,3.4833491666846634
settings_two,synthetic_batch_36.out,HBOS,2.872564780020392,HBOS,2.872564780020392,HBOS,2.872564780020392,HBOS,2.872564780020392,HBOS,2.872564780020392,HBOS,2.872564780020392,HBOS,3.185888793117335,PCC,2.872564780020392,HBOS,3.05307900452069,COPOD,2.872564780020392,HBOS,2.872564780020392,HBOS,2.8524195633069644,0.7088196604888644,6.780427373270752,4.677140410300792,3.05307900452069,2.872564780020392,2.8524195633069644,3.185888793117335
