dataset,filename,Random Black Forest (RR),DenoisingAutoEncoder (DAE),AutoEncoder (AE),Torsk,COF,CBLOF,PCC,HBOS,COPOD,LOF,Avg Ens.
settings_three,settings_three,0.065717,0.381218,0.371796,1.25768,10.021351,2.160072,0.041692,2.238982,0.779228,0.085815,17.403551
settings_three,settings_three,0.046407,0.052972,0.051496,0.55533,9.845132,0.089513,0.01808,0.01782,0.020059,0.064323,10.761132
settings_three,settings_three,0.045735,0.051047,0.05064,0.710885,10.051427,0.098919,0.017896,0.017908,0.019765,0.064081,11.128303
settings_three,settings_three,0.045268,0.05105,0.050403,0.899247,9.88104,0.093657,0.017948,0.017717,0.01937,0.063669,11.139369000000002
settings_three,settings_three,0.05126,0.05363,0.053438,1.024772,9.864764,0.081682,0.017379,0.017949,0.019913,0.064119,11.248906
settings_three,settings_three,0.045804,0.050851,0.05131,0.906504,10.002534,0.083512,0.017855,0.017336,0.019119,0.063429,11.258254
settings_three,settings_three,0.045593,0.051761,0.052055,0.880908,9.925245,0.088375,0.017954,0.017698,0.01996,0.064773,11.164321999999999
settings_three,settings_three,0.044429,0.052336,0.051266,1.089364,10.375454,0.07933,0.017248,0.017478,0.019782,0.064097,11.810784
settings_three,settings_three,0.047188,0.052399,0.050658,0.563825,9.810581,0.086224,0.017645,0.018417,0.019328,0.06382,10.730084999999999
settings_three,settings_three,0.045507,0.051456,0.051031,1.246881,9.94805,0.092414,0.017468,0.018266,0.019575,0.0643,11.554948
settings_three,settings_three,0.045749,0.052134,0.051337,0.773789,9.981387,0.081905,0.017544,0.017804,0.019778,0.063615,11.105042000000001
settings_three,settings_three,0.045307,0.051545,0.051654,0.648696,10.009031,0.08664,0.017221,0.017569,0.019631,0.063881,11.011175
settings_three,settings_three,0.045584,0.052748,0.051298,0.804635,9.952541,0.083568,0.017763,0.018501,0.019986,0.06284,11.109464
settings_three,settings_three,0.045513,0.054709,0.053331,0.79149,10.404895,0.079147,0.017465,0.017604,0.019101,0.062923,11.546178
settings_three,settings_three,0.045733,0.051573,0.050486,0.594344,10.467434,0.080714,0.018268,0.018021,0.019253,0.063227,11.409053000000002
settings_three,settings_three,0.046207,0.051068,0.050694,0.642148,11.289413,0.08799,0.018035,0.018172,0.019129,0.063092,12.285947999999998
settings_three,settings_three,0.045255,0.053002,0.050113,0.615373,9.884555,0.081311,0.01771,0.017648,0.019502,0.064791,10.849259999999997
settings_three,settings_three,0.045876,0.051806,0.0508,0.685656,9.91323,0.074128,0.017448,0.01799,0.019084,0.064717,10.940734999999998
settings_three,settings_three,0.045632,0.051187,0.051007,0.665282,9.768641,0.089135,0.017682,0.018025,0.019477,0.063242,10.789310000000002
settings_three,settings_three,0.045888,0.052098,0.05035,0.483216,9.745306,0.092038,0.017702,0.018134,0.018944,0.097355,10.621030999999999
settings_three,settings_three,0.045199,0.054646,0.050714,0.618666,9.823905,0.083419,0.018004,0.021023,0.01951,0.065166,10.800251999999999
settings_three,settings_three,0.045109,0.055611,0.052637,1.651043,10.462567,0.082978,0.017759,0.017849,0.019151,0.064654,12.469358000000001
settings_three,settings_three,0.046096,0.062119,0.050819,0.439495,9.939996,0.08432,0.017446,0.017521,0.019319,0.065391,10.742522
settings_three,settings_three,0.045351,0.058521,0.050923,1.059512,9.725339,0.087193,0.017602,0.017293,0.01906,0.066776,11.14757
settings_three,settings_three,0.045483,0.057219,0.057318,0.615087,9.743126,0.083985,0.017403,0.017577,0.019183,0.065148,10.721529
settings_three,settings_three,0.04348,0.054011,0.050882,0.962927,9.639329,0.079499,0.017573,0.017667,0.019452,0.064451,10.949271
settings_three,settings_three,0.050171,0.051773,0.050769,1.000906,9.815315,0.082162,0.018594,0.018741,0.019645,0.064327,11.172403000000003
settings_three,settings_three,0.045761,0.052001,0.051126,0.497762,9.635457,0.082414,0.018202,0.017482,0.019616,0.065053,10.484874
settings_three,settings_three,0.04525,0.053709,0.05082,0.360196,9.808687,0.089761,0.017615,0.018157,0.019583,0.065824,10.529602
settings_three,settings_three,0.045046,0.053793,0.051196,0.675297,9.706507,0.078392,0.017921,0.01767,0.019547,0.064355,10.729724
settings_three,settings_three,0.045119,0.057565,0.05411,0.704953,9.695682,0.09215,0.01788,0.018291,0.019641,0.075049,10.780439999999999
settings_three,settings_three,0.049572,0.052912,0.051501,0.735421,10.745929,0.088011,0.017339,0.017679,0.019258,0.068419,11.846041
settings_three,settings_three,0.043938,0.053979,0.05112,1.9044,10.309265,0.082191,0.018381,0.017683,0.019531,0.06646,12.566948
settings_three,settings_three,0.044417,0.054053,0.050759,0.88878,10.80017,0.086732,0.01765,0.017948,0.019083,0.065078,12.04467
settings_three,settings_three,0.044042,0.052746,0.050853,0.750125,10.105737,0.081713,0.017852,0.017431,0.019609,0.064447,11.204555000000001
settings_three,settings_three,0.045753,0.053313,0.051028,0.892825,11.110431,0.082692,0.017354,0.01773,0.019218,0.063795,12.354139
settings_three,settings_three,0.045008,0.059348,0.051296,0.521515,10.604426,0.074683,0.017451,0.017302,0.019751,0.063325,11.474105000000002
settings_three,settings_three,0.045162,0.053216,0.050951,0.746259,10.655424,0.078002,0.017537,0.017263,0.019096,0.064177,11.747087
settings_three,settings_three,0.045565,0.053854,0.050822,0.484526,9.751278,0.078363,0.01716,0.017178,0.01952,0.063513,10.581779
