dataset,filename,HBOS,CBLOF,LOF,COPOD,PCC,AutoEncoder (AE),DenoisingAutoEncoder (DAE),RobustPCA,Random Black Forest (RR),Torsk,Avg Ens.
settings_five,synthetic_batch_0.out,2.453446,6.916718,1.37981,0.970277,0.351002,0.538752,0.522487,0.285245,0.211885,23.722817,37.352439000000004
settings_five,synthetic_batch_1.out,0.127422,4.696595,1.186597,0.136286,0.302962,0.247631,0.237245,0.164006,0.19384,22.965506,30.258090000000003
settings_five,synthetic_batch_2.out,0.132525,5.550526,1.181281,0.133281,0.295768,0.234809,0.238106,0.155895,0.184598,23.245131,31.35192
settings_five,synthetic_batch_3.out,0.129543,5.810555,1.121154,0.13616,0.309625,0.232665,0.230065,0.275013,0.186715,23.383956,31.815451000000003
settings_five,synthetic_batch_4.out,0.128998,5.284557,1.112864,0.131524,0.291989,0.232385,0.23583,0.159089,0.237875,23.293834,31.108945
settings_five,synthetic_batch_5.out,0.122901,4.775283,1.105156,0.1324,0.302157,0.232254,0.227579,0.286982,0.185343,23.225485,30.59554
settings_five,synthetic_batch_6.out,0.124134,5.016206,1.091049,0.131919,0.289626,0.23379,0.230247,0.215756,0.181536,26.150319,33.664582
settings_five,synthetic_batch_7.out,0.131977,5.116793,1.083186,0.131231,0.303029,0.23489,0.229544,0.284629,0.183891,33.94807,41.647240000000004
settings_five,synthetic_batch_8.out,0.125238,5.106611,1.182131,0.131175,0.283108,0.233217,0.228413,0.219499,0.183195,31.470175,39.162762
settings_five,synthetic_batch_9.out,0.122567,6.285904,1.920755,0.1312,0.296057,0.236808,0.233967,0.171882,0.181256,28.765196,38.345591999999996
settings_five,synthetic_batch_10.out,0.138466,5.350926,1.215549,0.131644,0.303453,0.233818,0.229345,0.224452,0.18917,20.635894,28.652717000000003
settings_five,synthetic_batch_11.out,0.126603,5.619961,1.254127,0.132867,0.370323,0.234849,0.226231,0.225573,0.189087,22.377471,30.757092
settings_five,synthetic_batch_12.out,0.126644,5.534161,1.252474,0.130679,0.423947,0.231345,0.227523,0.191314,0.18691,24.98126,33.286257
settings_five,synthetic_batch_13.out,0.126494,5.556273,1.219141,0.130403,0.46217,0.233309,0.229776,0.255848,0.181898,27.849775,36.245087
settings_five,synthetic_batch_14.out,0.127278,5.038754,1.122738,0.129578,0.677295,0.233196,0.227161,0.189058,0.187036,25.88196,33.814054
settings_five,synthetic_batch_15.out,0.121912,5.161085,1.174609,0.131791,0.439571,0.233923,0.228912,0.20445,0.187612,27.286333,35.170198
settings_five,synthetic_batch_16.out,0.121293,5.329086,1.220732,0.130346,0.34284,0.234286,0.227964,0.211083,0.190119,22.555902,30.563651
settings_five,synthetic_batch_17.out,0.124477,4.807807,1.281408,0.129116,0.30855,0.241969,0.235432,0.247922,0.182284,20.50053,28.059495000000002
settings_five,synthetic_batch_18.out,0.127012,4.860297,1.175226,0.129639,0.3174,0.237492,0.234256,0.185453,0.184122,27.987953,35.43885
settings_five,synthetic_batch_19.out,0.120186,4.413358,1.172231,0.129266,0.309751,0.231678,0.234569,0.184992,0.182682,27.192861,34.171574
settings_five,synthetic_batch_20.out,0.125981,4.992046,1.195926,0.130482,0.319312,0.231938,0.231486,0.210304,0.182738,24.069497,31.689709999999998
settings_five,synthetic_batch_21.out,0.119123,5.192893,1.121914,0.130644,0.294423,0.23096,0.228371,0.219457,0.188403,27.824828,35.551016000000004
settings_five,synthetic_batch_22.out,0.119381,5.045879,1.191549,0.15723,0.298801,0.231534,0.228712,0.197294,0.184465,23.053097,30.707942000000003
settings_five,synthetic_batch_23.out,0.120907,5.094442,1.161405,0.135408,0.332226,0.234691,0.228047,0.15343,0.179369,25.997561,33.637486
settings_five,synthetic_batch_24.out,0.120728,5.103873,1.196198,0.159172,0.298058,0.24474,0.229225,0.242179,0.184636,25.394634,33.173443
settings_five,synthetic_batch_25.out,0.119796,5.378429,1.193381,0.140374,0.308738,0.243398,0.230015,0.232012,0.192781,23.864283,31.903207000000002
settings_five,synthetic_batch_26.out,0.120688,4.745546,1.192633,0.137577,0.292336,0.345714,0.228712,0.282031,0.18901,23.242516,30.776763
settings_five,synthetic_batch_27.out,0.120464,4.82585,1.162466,0.129649,0.359441,0.372727,0.229558,0.280796,0.183104,24.966127,32.630182
settings_five,synthetic_batch_28.out,0.120075,4.343012,1.118229,0.130445,0.367813,0.534003,0.229785,0.183646,0.187556,26.816774,34.031338
settings_five,synthetic_batch_29.out,0.12032,5.393718,1.166887,0.143806,0.373214,0.597562,0.227222,0.192072,0.18254,26.319965,34.717306
settings_five,synthetic_batch_30.out,0.119172,4.778197,1.402879,0.145087,0.336386,0.305394,0.230042,0.206255,0.185697,26.765382,34.474491
settings_five,synthetic_batch_31.out,0.120781,4.920759,1.176498,0.136749,0.38168,0.252016,0.230896,0.236903,0.183082,26.117972,33.757336
settings_five,synthetic_batch_32.out,0.12,4.800567,1.107178,0.151267,0.376417,0.23196,0.232144,0.222251,0.183364,26.538396,33.963544
settings_five,synthetic_batch_33.out,0.120366,5.625455,1.137463,0.132762,0.307198,0.233082,0.230597,0.245845,0.183092,23.739631,31.955491
settings_five,synthetic_batch_34.out,0.120055,6.646758,1.173237,0.140376,0.312728,0.249974,0.231813,0.217671,0.182601,27.735311,37.010524
settings_five,synthetic_batch_35.out,0.120589,4.946514,1.090926,0.139047,,,,,,,6.297076
settings_five,synthetic_batch_36.out,0.118633,5.62203,1.118645,0.137697,0.315291,0.247613,0.230172,0.170382,0.180278,26.598022,34.738763
settings_five,synthetic_batch_37.out,0.11895,5.293038,1.523559,0.133849,0.310116,0.252479,0.235069,0.263619,0.181226,27.773727,36.085632000000004
settings_five,synthetic_batch_38.out,0.119298,5.283544,1.127055,0.136345,0.30639,0.302234,0.237563,0.27176,0.186501,26.012585,33.983275
settings_five,synthetic_batch_39.out,0.120721,5.52283,1.10957,0.132759,0.306991,0.251094,0.240409,0.198592,0.181392,21.085136,29.149493999999997
settings_five,synthetic_batch_40.out,0.120026,4.517251,1.102466,0.12998,0.291642,0.238742,0.241276,0.1754,0.180338,19.214624,26.211745
settings_five,synthetic_batch_41.out,0.121505,5.93938,1.104312,0.13035,0.300095,0.235565,0.346022,0.282815,0.183677,23.763309,32.40703
settings_five,synthetic_batch_42.out,0.120145,4.387252,1.099902,0.1293,0.292159,0.249198,0.399301,0.166005,0.181245,24.101269,31.125776
settings_five,synthetic_batch_43.out,0.119961,5.515361,1.107869,0.129923,0.286426,0.238033,0.562474,0.161058,0.181805,23.382997,31.685907
settings_five,synthetic_batch_44.out,0.119052,5.252068,1.138127,0.130594,0.32806,0.245687,0.735577,0.186757,0.185122,23.709203,32.030247
settings_five,synthetic_batch_45.out,0.126486,5.168659,1.098751,0.130902,0.296417,0.250899,0.308117,0.199507,0.182499,24.441666,32.203903
settings_five,synthetic_batch_46.out,0.12028,5.838972,1.095533,0.129559,0.307569,0.254925,0.235607,0.147354,0.181132,25.104862,33.415793
settings_five,synthetic_batch_47.out,0.119765,5.336146,1.109754,0.12993,0.290918,0.257859,0.263629,0.163516,0.184996,23.655859,31.512372
settings_five,synthetic_batch_48.out,0.118814,4.56267,1.110927,0.135411,0.292414,0.290728,0.236835,0.276176,0.181866,23.746993,30.952834
settings_five,synthetic_batch_49.out,0.120051,5.23213,1.115364,0.131415,0.303815,0.249382,0.233094,0.224263,0.18118,25.032384,32.823078
settings_five,synthetic_batch_50.out,0.120735,4.714116,1.097129,0.131383,0.303554,0.254386,0.371127,0.228339,0.179043,24.309682,31.709494
settings_five,synthetic_batch_51.out,0.120602,4.835173,1.098046,0.135046,0.361465,0.262496,0.24425,0.195337,0.182971,23.029509,30.464895000000002
settings_five,synthetic_batch_52.out,0.122009,4.74631,1.091218,0.130276,0.313772,0.26696,0.240152,0.249114,0.18097,21.578597,28.919378
settings_five,synthetic_batch_53.out,0.121205,4.956603,1.111904,0.133371,0.353341,0.276624,0.232943,0.232404,0.181203,20.419073,28.018671
settings_five,synthetic_batch_54.out,0.125617,4.886891,1.103073,0.139186,0.309903,0.25532,0.260905,0.181758,0.186317,24.939192,32.388162
settings_five,synthetic_batch_55.out,0.122105,5.053937,1.127917,0.133333,0.352735,0.292642,0.257029,0.27595,0.187226,23.65298,31.455854000000002
settings_five,synthetic_batch_56.out,0.12222,6.326198,1.119393,0.132732,0.312785,0.261504,0.651239,0.277514,0.183604,23.306895,32.694084000000004
settings_five,synthetic_batch_57.out,0.121182,5.887726,1.109765,0.133448,0.288955,0.271147,0.3427,0.216866,0.182104,20.65289,29.206783
settings_five,synthetic_batch_58.out,0.121945,5.724487,1.106686,0.130701,0.298903,0.322269,0.24673,0.203097,0.18336,23.06787,31.406048
settings_five,synthetic_batch_59.out,0.127177,5.543871,1.098185,0.132064,0.312839,0.281615,0.242727,0.272018,0.215453,24.5615,32.787448999999995
settings_five,synthetic_batch_60.out,0.124513,5.970738,1.107801,0.140708,0.319013,0.382342,0.247456,0.247431,0.20389,20.728226,29.472118000000002
settings_five,synthetic_batch_61.out,0.121939,4.950601,1.104111,0.133312,0.307243,0.252982,0.231208,0.197668,0.191688,23.138539,30.629291000000002
settings_five,synthetic_batch_62.out,0.126912,5.013238,1.096676,0.130652,0.306751,0.243924,0.231688,0.185503,0.400524,22.680708,30.416576
settings_five,synthetic_batch_63.out,0.119326,5.407189,1.101714,0.15059,0.309409,0.238736,0.231196,0.249865,0.420945,23.760138,31.989108
settings_five,synthetic_batch_64.out,0.127771,5.144833,1.106452,0.202445,0.295155,0.238002,0.25694,0.195571,0.457909,26.47594,34.501018
settings_five,synthetic_batch_65.out,0.121386,4.585591,1.109461,0.143088,0.309282,0.234483,0.241402,0.271125,0.358001,20.755515,28.129334
